,iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,diff
0,4264,AV_Champs_Elysees,2020-01-01 01:00:00,1.0,,0.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,2.0,
1,4264,AV_Champs_Elysees,2020-01-01 02:00:00,194.0,,0.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
2,4264,AV_Champs_Elysees,2020-01-01 03:00:00,445.0,35.74778,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
3,4264,AV_Champs_Elysees,2020-01-01 04:00:00,953.0,21.13111,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
4,4264,AV_Champs_Elysees,2020-01-01 05:00:00,672.0,16.79945,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
5,4264,AV_Champs_Elysees,2020-01-01 06:00:00,623.0,10.92778,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
6,4264,AV_Champs_Elysees,2020-01-01 07:00:00,701.0,10.47444,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
7,4264,AV_Champs_Elysees,2020-01-01 08:00:00,536.0,6.06222,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
8,4264,AV_Champs_Elysees,2020-01-01 09:00:00,394.0,4.3722199999999996,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
9,4264,AV_Champs_Elysees,2020-01-01 10:00:00,389.0,4.33333,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
10,4264,AV_Champs_Elysees,2020-01-01 11:00:00,438.0,6.08445,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
11,4264,AV_Champs_Elysees,2020-01-01 12:00:00,582.0,9.37389,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
12,4264,AV_Champs_Elysees,2020-01-01 13:00:00,870.0,12.709439999999999,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
13,4264,AV_Champs_Elysees,2020-01-01 14:00:00,1115.0,23.182779999999998,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
14,4264,AV_Champs_Elysees,2020-01-01 15:00:00,1173.0,33.29833,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
15,4264,AV_Champs_Elysees,2020-01-01 16:00:00,1204.0,33.51444,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
16,4264,AV_Champs_Elysees,2020-01-01 17:00:00,1168.0,48.50445,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
17,4264,AV_Champs_Elysees,2020-01-01 18:00:00,1177.0,37.89222,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
18,4264,AV_Champs_Elysees,2020-01-01 19:00:00,1160.0,39.90167,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
19,4264,AV_Champs_Elysees,2020-01-01 20:00:00,1002.0,45.83889,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
20,4264,AV_Champs_Elysees,2020-01-01 21:00:00,1081.0,35.11333,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
21,4264,AV_Champs_Elysees,2020-01-01 22:00:00,1110.0,33.795,3.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
22,4264,AV_Champs_Elysees,2020-01-01 23:00:00,1094.0,26.21278,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
23,4264,AV_Champs_Elysees,2020-01-02 00:00:00,954.0,24.96389,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
24,4264,AV_Champs_Elysees,2020-01-02 01:00:00,859.0,20.115,2.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
25,4264,AV_Champs_Elysees,2020-01-02 02:00:00,687.0,11.84778,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
26,4264,AV_Champs_Elysees,2020-01-02 03:00:00,506.0,9.57,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
27,4264,AV_Champs_Elysees,2020-01-02 04:00:00,285.0,4.09112,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
28,4264,AV_Champs_Elysees,2020-01-02 05:00:00,153.0,1.82833,1.0,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3.0,0 days 01:00:00.000000000
