,iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre
0,4264,AV_Champs_Elysees,2020-12-01 01:00:00,126.0,1.3622299999999998,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
1,4264,AV_Champs_Elysees,2020-12-01 02:00:00,106.0,1.05111,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
2,4264,AV_Champs_Elysees,2020-12-01 03:00:00,70.0,0.7861100000000001,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
3,4264,AV_Champs_Elysees,2020-12-01 04:00:00,58.0,0.7338899999999999,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
4,4264,AV_Champs_Elysees,2020-12-01 05:00:00,108.0,0.41722,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
5,4264,AV_Champs_Elysees,2020-12-01 06:00:00,119.0,0.97278,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
6,4264,AV_Champs_Elysees,2020-12-01 07:00:00,186.0,2.0461099999999997,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
7,4264,AV_Champs_Elysees,2020-12-01 08:00:00,536.0,5.29167,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
8,4264,AV_Champs_Elysees,2020-12-01 09:00:00,914.0,9.12111,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
9,4264,AV_Champs_Elysees,2020-12-01 10:00:00,1279.0,13.58,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
10,4264,AV_Champs_Elysees,2020-12-01 11:00:00,1371.0,16.302220000000002,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
11,4264,AV_Champs_Elysees,2020-12-01 12:00:00,1270.0,16.45833,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
12,4264,AV_Champs_Elysees,2020-12-01 13:00:00,1232.0,17.35667,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
13,4264,AV_Champs_Elysees,2020-12-01 14:00:00,1209.0,17.427220000000002,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
14,4264,AV_Champs_Elysees,2020-12-01 15:00:00,1085.0,15.69,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
15,4264,AV_Champs_Elysees,2020-12-01 16:00:00,1160.0,16.267220000000002,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
16,4264,AV_Champs_Elysees,2020-12-01 17:00:00,1083.0,15.84,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
17,4264,AV_Champs_Elysees,2020-12-01 18:00:00,1030.0,14.41889,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
18,4264,AV_Champs_Elysees,2020-12-01 19:00:00,1090.0,14.125,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
19,4264,AV_Champs_Elysees,2020-12-01 20:00:00,1018.0,12.426110000000001,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
20,4264,AV_Champs_Elysees,2020-12-01 21:00:00,892.0,11.67945,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
21,4264,AV_Champs_Elysees,2020-12-01 22:00:00,568.0,6.99333,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
22,4264,AV_Champs_Elysees,2020-12-01 23:00:00,378.0,16.53667,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
23,4264,AV_Champs_Elysees,2020-12-02 00:00:00,236.0,2.56222,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
24,4264,AV_Champs_Elysees,2020-12-02 01:00:00,177.0,1.89778,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
25,4264,AV_Champs_Elysees,2020-12-02 02:00:00,136.0,1.63834,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
26,4264,AV_Champs_Elysees,2020-12-02 03:00:00,91.0,1.155,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
27,4264,AV_Champs_Elysees,2020-12-02 04:00:00,61.0,0.775,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
28,4264,AV_Champs_Elysees,2020-12-02 05:00:00,53.0,0.81889,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
29,4264,AV_Champs_Elysees,2020-12-02 06:00:00,78.0,0.9116700000000001,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
30,4264,AV_Champs_Elysees,2020-12-02 07:00:00,181.0,1.99111,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
31,4264,AV_Champs_Elysees,2020-12-02 08:00:00,626.0,6.08334,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
32,4264,AV_Champs_Elysees,2020-12-02 09:00:00,1043.0,13.19222,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
33,4264,AV_Champs_Elysees,2020-12-02 10:00:00,1281.0,34.313340000000004,3,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
34,4264,AV_Champs_Elysees,2020-12-02 11:00:00,1356.0,21.14556,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
35,4264,AV_Champs_Elysees,2020-12-02 12:00:00,1264.0,15.462779999999999,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
36,4264,AV_Champs_Elysees,2020-12-02 13:00:00,1263.0,15.922220000000001,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
37,4264,AV_Champs_Elysees,2020-12-02 14:00:00,1209.0,16.17889,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
38,4264,AV_Champs_Elysees,2020-12-02 15:00:00,1197.0,15.802779999999998,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
39,4264,AV_Champs_Elysees,2020-12-02 16:00:00,1207.0,21.544439999999998,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
40,4264,AV_Champs_Elysees,2020-12-02 17:00:00,1099.0,18.50556,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
41,4264,AV_Champs_Elysees,2020-12-02 18:00:00,1131.0,17.13389,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
42,4264,AV_Champs_Elysees,2020-12-02 19:00:00,1099.0,21.227220000000003,2,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
43,4264,AV_Champs_Elysees,2020-12-02 20:00:00,1038.0,13.95945,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
44,4264,AV_Champs_Elysees,2020-12-02 21:00:00,929.0,13.10111,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
45,4264,AV_Champs_Elysees,2020-12-02 22:00:00,650.0,7.435560000000001,1,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,3
