,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 01:00:00,628.0,3.88111,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",
1,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 02:00:00,1040.0,8.35056,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
2,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 03:00:00,733.0,8.11722,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
3,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 04:00:00,559.0,3.46556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
4,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 05:00:00,478.0,2.64667,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
5,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 06:00:00,433.0,2.33222,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
6,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 07:00:00,251.0,1.34556,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
7,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 08:00:00,202.0,1.41945,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
8,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 09:00:00,147.0,1.00889,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
9,5671,Convention,2937,Lecourbe-Convention,2973,Convention-Blomet,2019-01-01 10:00:00,161.0,1.02667,1.0,3.0,"""<PLINE><PT X=""""596726"""" Y=""""126520""""/><PT X=""""596919"""" Y=""""126385""""/></PLINE>""",0 days 01:00:00.000000000
