,iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,diff
0,5671,Convention,2020-01-01 01:00:00,650.0,3.7166699999999997,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,
1,5671,Convention,2020-01-01 02:00:00,642.0,5.14278,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
2,5671,Convention,2020-01-01 03:00:00,851.0,24.65223,2.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
3,5671,Convention,2020-01-01 04:00:00,786.0,19.83333,2.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
4,5671,Convention,2020-01-01 05:00:00,868.0,8.36,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
5,5671,Convention,2020-01-01 06:00:00,665.0,3.82334,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
6,5671,Convention,2020-01-01 07:00:00,412.0,2.11111,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
7,5671,Convention,2020-01-01 08:00:00,288.0,1.38056,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
8,5671,Convention,2020-01-01 09:00:00,259.0,1.41667,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
9,5671,Convention,2020-01-01 10:00:00,196.0,1.35055,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
10,5671,Convention,2020-01-01 11:00:00,228.0,1.70445,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
11,5671,Convention,2020-01-01 12:00:00,265.0,1.72945,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
12,5671,Convention,2020-01-01 13:00:00,404.0,2.77556,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
13,5671,Convention,2020-01-01 14:00:00,579.0,3.64834,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
14,5671,Convention,2020-01-01 15:00:00,559.0,3.38389,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
15,5671,Convention,2020-01-01 16:00:00,655.0,3.4172300000000004,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
16,5671,Convention,2020-01-01 17:00:00,659.0,5.098330000000001,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
17,5671,Convention,2020-01-01 18:00:00,725.0,6.12333,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
18,5671,Convention,2020-01-01 19:00:00,763.0,5.93834,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
19,5671,Convention,2020-01-01 20:00:00,823.0,7.81722,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
20,5671,Convention,2020-01-01 21:00:00,781.0,5.78389,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
21,5671,Convention,2020-01-01 22:00:00,635.0,4.03667,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
22,5671,Convention,2020-01-01 23:00:00,551.0,3.59389,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
23,5671,Convention,2020-01-02 00:00:00,470.0,2.65334,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
24,5671,Convention,2020-01-02 01:00:00,320.0,1.835,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
25,5671,Convention,2020-01-02 02:00:00,227.0,1.3427799999999999,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
26,5671,Convention,2020-01-02 03:00:00,143.0,0.9216700000000001,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
27,5671,Convention,2020-01-02 04:00:00,85.0,0.365,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
28,5671,Convention,2020-01-02 05:00:00,73.0,0.44056000000000006,1.0,2937,Lecourbe-Convention,2973,Convention-Blomet,3.0,0 days 01:00:00.000000000
