,iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre,dessin,diff
0,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 01:00:00,568.0,7.68611,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",
1,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 02:00:00,684.0,8.41445,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
2,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 03:00:00,538.0,6.22222,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
3,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 04:00:00,452.0,5.31,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
4,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 05:00:00,392.0,4.3638900000000005,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
5,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 06:00:00,296.0,3.3916699999999995,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
6,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 07:00:00,192.0,2.31278,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
7,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 08:00:00,152.0,1.92222,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
8,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 09:00:00,112.0,1.54722,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
9,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 10:00:00,133.0,1.75111,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
10,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 11:00:00,206.0,2.75611,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
11,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 12:00:00,258.0,3.53722,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
12,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 13:00:00,360.0,4.86056,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
13,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 14:00:00,353.0,4.59445,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
14,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 15:00:00,393.0,5.09778,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
15,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 16:00:00,456.0,5.93889,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
16,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 17:00:00,525.0,6.52834,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
17,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 18:00:00,516.0,6.27056,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
18,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 19:00:00,502.0,6.46445,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
19,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 20:00:00,499.0,6.3122300000000005,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
20,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 21:00:00,445.0,5.4888900000000005,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
21,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 22:00:00,376.0,4.73389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
22,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-01 23:00:00,311.0,3.56722,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
23,191,Sts_Peres,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,2017-01-02 00:00:00,292.0,3.44389,1.0,3.0,"""<PLINE><PT X=""""599768"""" Y=""""128643""""/><PT X=""""599646"""" Y=""""128424""""/></PLINE>""",0 days 01:00:00.000000000
