,iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,diff
0,191,Sts_Peres,2020-01-01 01:00:00,867.0,10.54,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,
1,191,Sts_Peres,2020-01-01 02:00:00,620.0,7.947780000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
2,191,Sts_Peres,2020-01-01 03:00:00,737.0,9.311110000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
3,191,Sts_Peres,2020-01-01 04:00:00,688.0,8.485,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
4,191,Sts_Peres,2020-01-01 05:00:00,496.0,5.95167,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
5,191,Sts_Peres,2020-01-01 06:00:00,345.0,4.257219999999999,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
6,191,Sts_Peres,2020-01-01 07:00:00,248.0,3.00555,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
7,191,Sts_Peres,2020-01-01 08:00:00,241.0,2.88778,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
8,191,Sts_Peres,2020-01-01 09:00:00,194.0,2.38778,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
9,191,Sts_Peres,2020-01-01 10:00:00,169.0,2.01222,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
10,191,Sts_Peres,2020-01-01 11:00:00,166.0,1.94223,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
11,191,Sts_Peres,2020-01-01 12:00:00,204.0,2.62889,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
12,191,Sts_Peres,2020-01-01 13:00:00,282.0,3.3027800000000003,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
13,191,Sts_Peres,2020-01-01 14:00:00,350.0,4.35389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
14,191,Sts_Peres,2020-01-01 15:00:00,378.0,4.736669999999999,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
15,191,Sts_Peres,2020-01-01 16:00:00,384.0,4.6677800000000005,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
16,191,Sts_Peres,2020-01-01 17:00:00,433.0,5.08,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
17,191,Sts_Peres,2020-01-01 18:00:00,535.0,7.8411100000000005,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
18,191,Sts_Peres,2020-01-01 19:00:00,499.0,6.9211100000000005,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
19,191,Sts_Peres,2020-01-01 20:00:00,566.0,8.43833,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
20,191,Sts_Peres,2020-01-01 21:00:00,558.0,7.03222,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
21,191,Sts_Peres,2020-01-01 22:00:00,551.0,6.48722,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
22,191,Sts_Peres,2020-01-01 23:00:00,431.0,5.20222,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
23,191,Sts_Peres,2020-01-02 00:00:00,339.0,4.17834,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
24,191,Sts_Peres,2020-01-02 01:00:00,221.0,2.5183400000000002,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
25,191,Sts_Peres,2020-01-02 02:00:00,194.0,2.24222,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
26,191,Sts_Peres,2020-01-02 03:00:00,105.0,1.29556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
27,191,Sts_Peres,2020-01-02 04:00:00,48.0,0.6311100000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
28,191,Sts_Peres,2020-01-02 05:00:00,19.0,0.28833000000000003,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
29,191,Sts_Peres,2020-01-02 06:00:00,39.0,0.62778,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
30,191,Sts_Peres,2020-01-02 07:00:00,128.0,1.5072299999999998,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
31,191,Sts_Peres,2020-01-02 08:00:00,235.0,2.57389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
32,191,Sts_Peres,2020-01-02 09:00:00,388.0,4.992780000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
33,191,Sts_Peres,2020-01-02 10:00:00,475.0,5.83445,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
34,191,Sts_Peres,2020-01-02 11:00:00,563.0,6.661110000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
35,191,Sts_Peres,2020-01-02 12:00:00,645.0,8.99611,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
36,191,Sts_Peres,2020-01-02 13:00:00,686.0,9.80889,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
37,191,Sts_Peres,2020-01-02 14:00:00,721.0,9.62611,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
38,191,Sts_Peres,2020-01-02 15:00:00,661.0,8.20389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
39,191,Sts_Peres,2020-01-02 16:00:00,780.0,10.33445,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
40,191,Sts_Peres,2020-01-02 17:00:00,715.0,9.36389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
41,191,Sts_Peres,2020-01-02 18:00:00,826.0,14.738339999999999,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
42,191,Sts_Peres,2020-01-02 19:00:00,827.0,10.76556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
43,191,Sts_Peres,2020-01-02 20:00:00,981.0,12.59556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
44,191,Sts_Peres,2020-01-02 21:00:00,930.0,11.26555,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
45,191,Sts_Peres,2020-01-02 22:00:00,693.0,8.91445,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
46,191,Sts_Peres,2020-01-02 23:00:00,504.0,6.28556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
47,191,Sts_Peres,2020-01-03 00:00:00,469.0,5.8583300000000005,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
48,191,Sts_Peres,2020-01-03 01:00:00,452.0,5.37667,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
49,191,Sts_Peres,2020-01-03 02:00:00,321.0,4.00056,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
50,191,Sts_Peres,2020-01-03 03:00:00,173.0,1.99167,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
51,191,Sts_Peres,2020-01-03 04:00:00,74.0,0.9533299999999999,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
52,191,Sts_Peres,2020-01-03 05:00:00,63.0,0.78389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
53,191,Sts_Peres,2020-01-03 06:00:00,56.0,0.72055,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
54,191,Sts_Peres,2020-01-03 07:00:00,109.0,1.38778,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
55,191,Sts_Peres,2020-01-03 08:00:00,233.0,2.88,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
56,191,Sts_Peres,2020-01-03 09:00:00,406.0,5.635,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
57,191,Sts_Peres,2020-01-03 10:00:00,503.0,6.25556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
58,191,Sts_Peres,2020-01-03 11:00:00,677.0,9.13889,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
59,191,Sts_Peres,2020-01-03 12:00:00,648.0,8.43556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
60,191,Sts_Peres,2020-01-03 13:00:00,702.0,9.137780000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
61,191,Sts_Peres,2020-01-03 14:00:00,720.0,12.23611,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
62,191,Sts_Peres,2020-01-03 15:00:00,792.0,10.16,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
63,191,Sts_Peres,2020-01-03 16:00:00,699.0,8.92556,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
64,191,Sts_Peres,2020-01-03 17:00:00,823.0,12.52333,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
65,191,Sts_Peres,2020-01-03 18:00:00,858.0,11.50389,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
66,191,Sts_Peres,2020-01-03 19:00:00,835.0,11.73945,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
67,191,Sts_Peres,2020-01-03 20:00:00,861.0,10.686110000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
68,191,Sts_Peres,2020-01-03 21:00:00,915.0,11.485,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
69,191,Sts_Peres,2020-01-03 22:00:00,747.0,9.176110000000001,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
70,191,Sts_Peres,2020-01-03 23:00:00,572.0,7.0427800000000005,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
71,191,Sts_Peres,2020-01-04 00:00:00,520.0,6.5422199999999995,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
72,191,Sts_Peres,2020-01-04 01:00:00,541.0,6.38722,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
73,191,Sts_Peres,2020-01-04 02:00:00,469.0,5.43445,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
74,191,Sts_Peres,2020-01-04 03:00:00,331.0,3.83722,1.0,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3.0,0 days 01:00:00.000000000
