,iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre
0,191,Sts_Peres,2020-11-30 01:00:00,61.0,1.0,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
1,191,Sts_Peres,2020-11-30 02:00:00,45.0,0.74111,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
2,191,Sts_Peres,2020-11-30 03:00:00,31.0,0.5311100000000001,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
3,191,Sts_Peres,2020-11-30 04:00:00,23.0,0.34556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
4,191,Sts_Peres,2020-11-30 05:00:00,20.0,0.32556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
5,191,Sts_Peres,2020-11-30 06:00:00,22.0,0.41667,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
6,191,Sts_Peres,2020-11-30 07:00:00,63.0,0.6461100000000001,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
7,191,Sts_Peres,2020-11-30 08:00:00,194.0,2.26667,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
8,191,Sts_Peres,2020-11-30 09:00:00,342.0,4.31834,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
9,191,Sts_Peres,2020-11-30 10:00:00,499.0,5.92167,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
10,191,Sts_Peres,2020-11-30 11:00:00,610.0,7.57556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
11,191,Sts_Peres,2020-11-30 12:00:00,526.0,7.36722,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
12,191,Sts_Peres,2020-11-30 13:00:00,532.0,7.5427800000000005,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
13,191,Sts_Peres,2020-11-30 14:00:00,544.0,6.782780000000001,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
14,191,Sts_Peres,2020-11-30 15:00:00,579.0,6.899439999999999,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
15,191,Sts_Peres,2020-11-30 16:00:00,574.0,7.1188899999999995,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
16,191,Sts_Peres,2020-11-30 17:00:00,594.0,8.14667,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
17,191,Sts_Peres,2020-11-30 18:00:00,568.0,9.44667,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
18,191,Sts_Peres,2020-11-30 19:00:00,557.0,6.50611,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
19,191,Sts_Peres,2020-11-30 20:00:00,491.0,5.60889,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
20,191,Sts_Peres,2020-11-30 21:00:00,493.0,4.76945,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
21,191,Sts_Peres,2020-11-30 22:00:00,356.0,3.50445,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
22,191,Sts_Peres,2020-11-30 23:00:00,206.0,2.32278,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
23,191,Sts_Peres,2020-12-01 00:00:00,135.0,1.61556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
0,191,Sts_Peres,2020-12-01 01:00:00,97.0,1.28556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
1,191,Sts_Peres,2020-12-01 02:00:00,48.0,0.77556,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
2,191,Sts_Peres,2020-12-01 03:00:00,42.0,0.65833,1,114,Sts_Peres-Voltaire,119,Sts_Peres-Universite,3
