;Datetime;temp;desc;templow;icon;baro;wind;wd;hum;rain;fog;thunder;snow
0;2020-01-12 00:00:00;5,5;Passing clouds.;5;14;1020;17;330;91;0;0;0;0
1;2020-01-12 01:00:00;8;Passing clouds.;5;14;1020;17;330;91;0;0;0;0
2;2020-01-12 02:00:00;8;Passing clouds.;5;14;1020;17;330;91;0;0;0;0
3;2020-01-12 03:00:00;8;Overcast.;6;7;1021;16;330;80;0;0;0;0
4;2020-01-12 04:00:00;7,5;Overcast.;6;7;1021;16;330;80;0;0;0;0
5;2020-01-12 05:00:00;6,5;Overcast.;6;7;1021;16;330;80;0;0;0;0
6;2020-01-12 06:00:00;6;Overcast.;6;7;1021;16;330;80;0;0;0;0
7;2020-01-12 07:00:00;6;Overcast.;6;7;1021;16;330;80;0;0;0;0
8;2020-01-12 08:00:00;6;Overcast.;6;7;1021;16;330;80;0;0;0;0
9;2020-01-12 09:00:00;6;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
10;2020-01-12 10:00:00;6,5;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
11;2020-01-12 11:00:00;7;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
12;2020-01-12 12:00:00;7;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
13;2020-01-12 13:00:00;8;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
14;2020-01-12 14:00:00;8;Partly sunny.;6;6;1020;19;330;78;0;0;0;0
15;2020-01-12 15:00:00;8;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
16;2020-01-12 16:00:00;7,5;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
17;2020-01-12 17:00:00;7;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
18;2020-01-12 18:00:00;6;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
19;2020-01-12 19:00:00;6;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
20;2020-01-12 20:00:00;6;Passing clouds.;5;14;1020;17;340;89;0;0;0;0
21;2020-01-12 21:00:00;5,5;Overcast.;6;17;1019;16;0;89;0;0;0;0
22;2020-01-12 22:00:00;5;Overcast.;6;17;1019;16;0;89;0;0;0;0
23;2020-01-12 23:00:00;6;Overcast.;6;17;1019;16;0;89;0;0;0;0
24;2020-02-12 00:00:00;6;Overcast.;6;17;1019;16;0;89;0;0;0;0
25;2020-02-12 01:00:00;6;Overcast.;6;17;1019;16;0;89;0;0;0;0
26;2020-02-12 02:00:00;6;Overcast.;6;17;1019;16;0;89;0;0;0;0
27;2020-02-12 03:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
28;2020-02-12 04:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
29;2020-02-12 05:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
30;2020-02-12 06:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
31;2020-02-12 07:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
32;2020-02-12 08:00:00;6;Overcast.;6;17;1018;11;350;91;0;0;0;0
33;2020-02-12 09:00:00;6;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
34;2020-02-12 10:00:00;6,5;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
35;2020-02-12 11:00:00;7;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
36;2020-02-12 12:00:00;7;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
37;2020-02-12 13:00:00;7;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
38;2020-02-12 14:00:00;7;More clouds than sun.;7;6;1016;10;340;83;0;0;0;0
39;2020-02-12 15:00:00;7;Clear.;5;13;1014;10;240;90;0;0;0;0
40;2020-02-12 16:00:00;7;Clear.;5;13;1014;10;240;90;0;0;0;0
41;2020-02-12 17:00:00;7;Clear.;5;13;1014;10;240;90;0;0;0;0
42;2020-02-12 18:00:00;6,5;Clear.;5;13;1014;10;240;90;0;0;0;0
43;2020-02-12 19:00:00;6;Clear.;5;13;1014;10;240;90;0;0;0;0
44;2020-02-12 20:00:00;6;Clear.;5;13;1014;10;240;90;0;0;0;0
45;2020-02-12 21:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
46;2020-02-12 22:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
47;2020-02-12 23:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
48;2020-03-12 00:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
49;2020-03-12 01:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
50;2020-03-12 02:00:00;5;Low clouds.;5;17;1009;12;230;92;0;0;0;0
51;2020-03-12 03:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
52;2020-03-12 04:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
53;2020-03-12 05:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
54;2020-03-12 06:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
55;2020-03-12 07:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
56;2020-03-12 08:00:00;5;Fog.;5;9;1003;13;200;99;0;1;0;0
57;2020-03-12 09:00:00;5;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
58;2020-03-12 10:00:00;5;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
59;2020-03-12 11:00:00;5,5;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
60;2020-03-12 12:00:00;6;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
61;2020-03-12 13:00:00;6;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
62;2020-03-12 14:00:00;6;Light rain. Mostly cloudy.;6;18;993;22;180;94;1;0;0;0
63;2020-03-12 15:00:00;6;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
64;2020-03-12 16:00:00;6;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
65;2020-03-12 17:00:00;6;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
66;2020-03-12 18:00:00;7;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
67;2020-03-12 19:00:00;7;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
68;2020-03-12 20:00:00;7;Light rain. Mostly cloudy.;7;34;982;26;180;95;1;0;0;0
69;2020-03-12 21:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
70;2020-03-12 22:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
71;2020-03-12 23:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
72;2020-04-12 00:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
73;2020-04-12 01:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
74;2020-04-12 02:00:00;7;Overcast.;4;17;978;26;220;86;0;0;0;0
75;2020-04-12 03:00:00;6;Partly sunny.;4;6;982;21;220;80;0;0;0;0
76;2020-04-12 04:00:00;5;Partly sunny.;4;6;982;21;220;80;0;0;0;0
77;2020-04-12 05:00:00;4;Partly sunny.;4;6;982;21;220;80;0;0;0;0
78;2020-04-12 06:00:00;5;Partly sunny.;4;6;982;21;220;80;0;0;0;0
79;2020-04-12 07:00:00;5;Partly sunny.;4;6;982;21;220;80;0;0;0;0
80;2020-04-12 08:00:00;5;Partly sunny.;4;6;982;21;220;80;0;0;0;0
81;2020-04-12 09:00:00;4;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
82;2020-04-12 10:00:00;4;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
83;2020-04-12 11:00:00;5;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
84;2020-04-12 12:00:00;5,5;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
85;2020-04-12 13:00:00;6,5;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
86;2020-04-12 14:00:00;6,5;Mostly cloudy.;3;6;985;16;190;77;0;0;0;0
87;2020-04-12 15:00:00;6;Low clouds.;2;17;987;10;180;95;0;0;0;0
88;2020-04-12 16:00:00;5,5;Low clouds.;2;17;987;10;180;95;0;0;0;0
89;2020-04-12 17:00:00;4,5;Low clouds.;2;17;987;10;180;95;0;0;0;0
90;2020-04-12 18:00:00;3,5;Low clouds.;2;17;987;10;180;95;0;0;0;0
91;2020-04-12 19:00:00;3;Low clouds.;2;17;987;10;180;95;0;0;0;0
92;2020-04-12 20:00:00;3;Low clouds.;2;17;987;10;180;95;0;0;0;0
93;2020-04-12 21:00:00;3;Low clouds.;2;17;990;14;190;97;0;0;0;0
94;2020-04-12 22:00:00;3;Low clouds.;2;17;990;14;190;97;0;0;0;0
95;2020-04-12 23:00:00;2,5;Low clouds.;2;17;990;14;190;97;0;0;0;0
96;2020-05-12 00:00:00;2;Low clouds.;2;17;990;14;190;97;0;0;0;0
97;2020-05-12 01:00:00;2;Low clouds.;2;17;990;14;190;97;0;0;0;0
